Username,rawTweet,hashtags,mentions,fromUser
elanalistagt2,@Ronald_MacKay Lo más seguro andan inventándole un caso más a @BArevalodeLeon,,"Ronald_MacKay, BArevalodeLeon",
lez_dark,"@IvanDuque @BArevalodeLeon Cerdo idiota dizque productivo. Deberías estar pagando todo lo abudineado todos los ojos que sacaste y por el método de gobernar espiando celulares puerco de mierda. 
LA DE PEGASUS LA PAGAS MALDITO CERDO ACOMODADO HIJITO DE LA RATA MADRINA. https://t.co/jQx5eFjHtf",,"IvanDuque, BArevalodeLeon",
baquero_castro,@IvanDuque @BArevalodeLeon No hablaron de pegasus...,,"IvanDuque, BArevalodeLeon",
diegojirado,@IvanDuque @BArevalodeLeon Defensa de la democracia= acabar con todo lo que este en contra de ellos,,"IvanDuque, BArevalodeLeon",
luchopo81993102,@RafaelCarrerra @BArevalodeLeon Jajaja jajaja jajaja estos HDP escriben cualquier cosa para darle de comer a sus basuritas jajaja jajaja jajaja jajaja jajaja,,"RafaelCarrerra, BArevalodeLeon",
JavierR07772901,@Alex_balsells Estamos hablando de @BArevalodeLeon verdad?,,"Alex_balsells, BArevalodeLeon",
88Libre,@BenitoC67601310 @Chejo111 @arronchopa @BArevalodeLeon Así hay que contestar a esos ridículos netcenteros.,,"BenitoC67601310, Chejo111, arronchopa, BArevalodeLeon",
Edvin111956,@BenitoC67601310 @arronchopa @BArevalodeLeon https://t.co/TLd3UfNZF5,,"BenitoC67601310, arronchopa, BArevalodeLeon",
slcharl2,"@EmisorasUnidas Solo sirvió para quemarte @diegoedeleon y ver que estás del lado equivocado siempre, seguramente en una de esas te pasas llevando entre las patas a @BArevalodeLeon pero ni modo.",,"EmisorasUnidas, diegoedeleon, BArevalodeLeon",
Edvin111956,@BenitoC67601310 @arronchopa @BArevalodeLeon https://t.co/pHbL5unkIy,,"BenitoC67601310, arronchopa, BArevalodeLeon",
OscarCordon,@GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT Gratuita….????? Idiotas. No es gratuita.,,"GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",
Gerardo20292641,"@Rincon001A @BArevalodeLeon @IvanDuque La importancia de saber elegir y como hace falta en Colombia y la región un político de la talla de Duque,Uribe o Pastrana ! Que nos sirva esto de lección a TODA Latinoamérica!",,"Rincon001A, BArevalodeLeon, IvanDuque",
